anio,sexo,entidad,casos_proteccion_atendidos,fecha
2023,hombre,Jalisco,5.0,2023-01-01
2023,mujer,Jalisco,1.0,2023-01-01
2024,hombre,Jalisco,9.0,2024-01-01
2024,mujer,Jalisco,1.0,2024-01-01
2025,hombre,Jalisco,1.0,2025-01-01
2025,mujer,Jalisco,,2025-01-01
2010,hombre,Michoacan,,2010-01-01
2010,mujer,Michoacan,,2010-01-01
2011,hombre,Michoacan,,2011-01-01
2011,mujer,Michoacan,,2011-01-01
2012,hombre,Michoacan,2.0,2012-01-01
2012,mujer,Michoacan,2.0,2012-01-01
2013,hombre,Michoacan,1.0,2013-01-01
2013,mujer,Michoacan,1.0,2013-01-01
2014,hombre,Michoacan,3.0,2014-01-01
2014,mujer,Michoacan,0.0,2014-01-01
2015,hombre,Michoacan,2.0,2015-01-01
2015,mujer,Michoacan,1.0,2015-01-01
2016,hombre,Michoacan,2.0,2016-01-01
2016,mujer,Michoacan,0.0,2016-01-01
2017,hombre,Michoacan,2.0,2017-01-01
2017,mujer,Michoacan,0.0,2017-01-01
2018,hombre,Michoacan,3.0,2018-01-01
2018,mujer,Michoacan,1.0,2018-01-01
2019,hombre,Michoacan,2.0,2019-01-01
2019,mujer,Michoacan,0.0,2019-01-01
2020,hombre,Michoacan,,2020-01-01
2020,mujer,Michoacan,,2020-01-01
2021,hombre,Michoacan,2.0,2021-01-01
2021,mujer,Michoacan,1.0,2021-01-01
2022,hombre,Michoacan,3.0,2022-01-01
2022,mujer,Michoacan,,2022-01-01
2023,hombre,Michoacan,2.0,2023-01-01
2023,mujer,Michoacan,1.0,2023-01-01
2024,hombre,Michoacan,1.0,2024-01-01
2024,mujer,Michoacan,1.0,2024-01-01
2025,hombre,Michoacan,,2025-01-01
2025,mujer,Michoacan,,2025-01-01
2010,hombre,Morelos,,2010-01-01
2010,mujer,Morelos,,2010-01-01
2011,hombre,Morelos,,2011-01-01
2011,mujer,Morelos,,2011-01-01
2012,hombre,Morelos,1.0,2012-01-01
2012,mujer,Morelos,0.0,2012-01-01
2013,hombre,Morelos,0.0,2013-01-01
2013,mujer,Morelos,1.0,2013-01-01
2014,hombre,Morelos,,2014-01-01
2014,mujer,Morelos,,2014-01-01
2015,hombre,Morelos,0.0,2015-01-01
2015,mujer,Morelos,1.0,2015-01-01
2016,hombre,Morelos,,2016-01-01
2016,mujer,Morelos,,2016-01-01
2017,hombre,Morelos,0.0,2017-01-01
2017,mujer,Morelos,1.0,2017-01-01
2018,hombre,Morelos,,2018-01-01
2018,mujer,Morelos,,2018-01-01
2019,hombre,Morelos,1.0,2019-01-01
2019,mujer,Morelos,1.0,2019-01-01
2020,hombre,Morelos,4.0,2020-01-01
2020,mujer,Morelos,1.0,2020-01-01
2021,hombre,Morelos,1.0,2021-01-01
2021,mujer,Morelos,,2021-01-01
2022,hombre,Morelos,,2022-01-01
2022,mujer,Morelos,1.0,2022-01-01
2023,hombre,Morelos,2.0,2023-01-01
2023,mujer,Morelos,1.0,2023-01-01
2024,hombre,Morelos,2.0,2024-01-01
2024,mujer,Morelos,1.0,2024-01-01
2025,hombre,Morelos,,2025-01-01
2025,mujer,Morelos,,2025-01-01
2010,hombre,Nacido Extranjero,,2010-01-01
2010,mujer,Nacido Extranjero,,2010-01-01
2011,hombre,Nacido Extranjero,,2011-01-01
2011,mujer,Nacido Extranjero,,2011-01-01
2012,hombre,Nacido Extranjero,,2012-01-01
2012,mujer,Nacido Extranjero,,2012-01-01
2013,hombre,Nacido Extranjero,,2013-01-01
2013,mujer,Nacido Extranjero,,2013-01-01
2014,hombre,Nacido Extranjero,,2014-01-01
2014,mujer,Nacido Extranjero,,2014-01-01
2015,hombre,Nacido Extranjero,,2015-01-01
